Duration for P=8 processors and k=1,...,24 where n=2^k

k duration
1 6.658397614955902100e-05
2 1.813983544707298279e-06
3 1.849024556577205658e-06
4 3.223947715014219284e-06
5 4.167959559708833694e-06
6 6.687012501060962677e-06
7 1.957500353455543518e-05
8 2.769799903035163879e-05
9 5.230703391134738922e-05
10 1.071739825420081615e-04
11 2.178099821321666241e-04
12 4.499990027397871017e-04
13 7.780289743095636368e-04
14 1.599648967385292053e-03
15 3.387723991181701422e-03
16 6.437495001591742039e-03
17 1.312289596535265446e-02
18 2.624631300568580627e-02
19 5.254164396319538355e-02
20 1.064040759811177850e-01
21 2.106707380153238773e-01
22 4.233311690040864050e-01
23 8.670461439760401845e-01
24 1.742099231982138008e+00
